START TIME: Wed Dec 17 02:44:18 CET 2025
[sbatch-master] running on nid007642
[sbatch-master] SLURM_NODELIST: nid007642
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[sbatch-master] define some env vars that will be passed to the compute nodes
[sbatch-master] execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007642 noderank=0 localrank=0
2025-12-17 02:44:33,906 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc-2/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, checkpoint_frequency=100, checkpoint_save_path=None, checkpoint_load_path=None, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, tp_size=1)
Setting device to local rank: 0
[Rank 0] World Size: 1, DP: 0 / 1, TP: 0 / 1
2025-12-17 02:44:35,091 - root - INFO - Setting up DataLoaders...
2025-12-17 02:44:38,243 - root - INFO - Setting up Model...
2025-12-17 02:44:40,250 - root - INFO - Starting training!
2025-12-17 02:45:49,348 - root - INFO - Step: 155 | Loss (Avg): 7.53 | Reserved Memory 86.81 GB  | Tokens per second: 4688.33 | Training tokens per second (%): 27.61 | MFU (%): 22.91 | TFLOP/s/GPU: 226.54
2025-12-17 02:45:51,561 - root - INFO - Step: 160 | Loss (Avg): 7.22 | Reserved Memory 86.81 GB  | Tokens per second: 4628.61 | Training tokens per second (%): 50.25 | MFU (%): 22.61 | TFLOP/s/GPU: 223.65
2025-12-17 02:45:53,744 - root - INFO - Step: 165 | Loss (Avg): 8.50 | Reserved Memory 86.81 GB  | Tokens per second: 4690.69 | Training tokens per second (%): 33.15 | MFU (%): 22.92 | TFLOP/s/GPU: 226.65
2025-12-17 02:45:55,957 - root - INFO - Step: 170 | Loss (Avg): 7.48 | Reserved Memory 86.81 GB  | Tokens per second: 4629.08 | Training tokens per second (%): 61.55 | MFU (%): 22.62 | TFLOP/s/GPU: 223.68
2025-12-17 02:45:58,169 - root - INFO - Step: 175 | Loss (Avg): 7.89 | Reserved Memory 86.81 GB  | Tokens per second: 4629.26 | Training tokens per second (%): 54.50 | MFU (%): 22.62 | TFLOP/s/GPU: 223.69
2025-12-17 02:46:00,371 - root - INFO - Step: 180 | Loss (Avg): 7.39 | Reserved Memory 86.81 GB  | Tokens per second: 4650.63 | Training tokens per second (%): 30.09 | MFU (%): 22.72 | TFLOP/s/GPU: 224.72
2025-12-17 02:46:02,564 - root - INFO - Step: 185 | Loss (Avg): 7.17 | Reserved Memory 86.81 GB  | Tokens per second: 4670.23 | Training tokens per second (%): 42.13 | MFU (%): 22.82 | TFLOP/s/GPU: 225.67
2025-12-17 02:46:04,768 - root - INFO - Step: 190 | Loss (Avg): 7.53 | Reserved Memory 86.81 GB  | Tokens per second: 4648.51 | Training tokens per second (%): 40.88 | MFU (%): 22.71 | TFLOP/s/GPU: 224.62
2025-12-17 02:46:06,949 - root - INFO - Step: 195 | Loss (Avg): 7.17 | Reserved Memory 86.81 GB  | Tokens per second: 4695.63 | Training tokens per second (%): 25.52 | MFU (%): 22.94 | TFLOP/s/GPU: 226.89
2025-12-17 02:46:09,162 - root - INFO - Step: 200 | Loss (Avg): 7.08 | Reserved Memory 86.81 GB  | Tokens per second: 4627.08 | Training tokens per second (%): 55.83 | MFU (%): 22.61 | TFLOP/s/GPU: 223.58
2025-12-17 02:46:11,371 - root - INFO - Step: 205 | Loss (Avg): 7.90 | Reserved Memory 86.81 GB  | Tokens per second: 4636.20 | Training tokens per second (%): 49.96 | MFU (%): 22.65 | TFLOP/s/GPU: 224.02
2025-12-17 02:46:13,580 - root - INFO - Step: 210 | Loss (Avg): 7.41 | Reserved Memory 86.81 GB  | Tokens per second: 4638.02 | Training tokens per second (%): 36.50 | MFU (%): 22.66 | TFLOP/s/GPU: 224.11
2025-12-17 02:46:15,784 - root - INFO - Step: 215 | Loss (Avg): 6.50 | Reserved Memory 86.81 GB  | Tokens per second: 4647.36 | Training tokens per second (%): 44.05 | MFU (%): 22.71 | TFLOP/s/GPU: 224.56
2025-12-17 02:46:17,977 - root - INFO - Step: 220 | Loss (Avg): 7.13 | Reserved Memory 86.81 GB  | Tokens per second: 4669.25 | Training tokens per second (%): 30.00 | MFU (%): 22.81 | TFLOP/s/GPU: 225.62
2025-12-17 02:46:20,200 - root - INFO - Step: 225 | Loss (Avg): 7.81 | Reserved Memory 86.81 GB  | Tokens per second: 4606.80 | Training tokens per second (%): 57.81 | MFU (%): 22.51 | TFLOP/s/GPU: 222.60
